sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock
619312,,Default,simple,Default Category/Fixtures; Racks & Shelving/Wall Systems ( Standards & Accessories)/Universal/Brackets,"Univ 12"" HR Bkt W/Sprng 1-5/16","<p align=left><font color=#000000 size=2 face=""Verdana, Helvetica"">Universal&nbsp;Hangrod Brackets with Spring Clamp are made for both 1"" and 1 1/4"" hangrod.&nbsp; These brackets fit Double Slotted Standards only,&nbsp; may not be used with concealed wall standards. </font><font size=2 face=""Arial, Helvetica""><font color=#000000 face=""Verdana, Helvetica"">The Universal System is recommended for moderate loads and normal traffic conditions.</font><br></font></p>",Universal Hangrod Brackets with Spring Clamp,1.725,1,Taxable Goods,"Catalog, Search",9.2,,,,"univ-12""-hr-bkt-wsprng-1-516-619312",,,,/619312_base.jpg,"Univ 12"" HR Bkt W/Sprng 1-5/16 base image",/619312_base.jpg,"Univ 12"" HR Bkt W/Sprng 1-5/16 small image",/619312_base.jpg,"Univ 12"" HR Bkt W/Sprng 1-5/16 thumbnail",,,,,,,,1,0,1,base,0,0
619321,,Default,simple,Default Category/Fixtures; Racks & Shelving/Wall Systems ( Standards & Accessories)/Universal/Brackets,"Univ 14""BRKT W/1-1/6""SPRG Clmp","<p align=left><font color=#000000 size=2 face=""Verdana, Helvetica"">Universal&nbsp;Hangrod Brackets with Spring Clamp are made for both 1"" and 1 1/4"" hangrod.&nbsp; These brackets fit Double Slotted Standards only,&nbsp; may not be used with concealed wall standards. </font><font size=2 face=""Arial, Helvetica""><font color=#000000 face=""Verdana, Helvetica"">The Universal System is recommended for moderate loads and normal traffic conditions.</font><br></font></p>",Universal Hangrod Brackets with Spring Clamp,1.84,1,Taxable Goods,"Catalog, Search",9.35,,,,"univ-14""brkt-w1-16""sprg-clmp-619321",,,,/619321_base.jpg,"Univ 14""BRKT W/1-1/6""SPRG Clmp base image",/619321_base.jpg,"Univ 14""BRKT W/1-1/6""SPRG Clmp small image",/619321_base.jpg,"Univ 14""BRKT W/1-1/6""SPRG Clmp thumbnail",,,,,,,,1,0,1,base,0,0
6193312,,Default,simple,Default Category/Fixtures; Racks & Shelving/Place Holder,"Univ Merch Bar Bkt 12"" w3/16""","Univ Merch Bar Bkt 12"" w3/16""",,0,1,Taxable Goods,"Catalog, Search",4.73,,,,"univ-merch-bar-bkt-12""-w316""-6193312",,,,/6193312_base.jpg,"Univ Merch Bar Bkt 12"" w3/16"" base image",/6193312_base.jpg,"Univ Merch Bar Bkt 12"" w3/16"" small image",/6193312_base.jpg,"Univ Merch Bar Bkt 12"" w3/16"" thumbnail",,,,,,,,1,0,1,base,0,0
619334,,Default,simple,Default Category/Fixtures; Racks & Shelving/Wall Systems ( Standards & Accessories)/Universal/Brackets,Univ Rect Blade Merch Bar Brkt,Univ Rect Blade Merch Bar Brkt,,0,1,Taxable Goods,"Catalog, Search",4.07,,,,univ-rect-blade-merch-bar-brkt-619334,,,,/619334_base.jpg,Univ Rect Blade Merch Bar Brkt base image,/619334_base.jpg,Univ Rect Blade Merch Bar Brkt small image,/619334_base.jpg,Univ Rect Blade Merch Bar Brkt thumbnail,,,,,,,,1,0,1,base,0,0
619411,,Default,simple,Default Category/Fixtures; Racks & Shelving/Wall Systems ( Standards & Accessories)/Universal/Brackets,Univ Hangrod End Mnt Brkt,Univ Hangrod End Mnt Brkt,,0,1,Taxable Goods,"Catalog, Search",2.95,,,,univ-hangrod-end-mnt-brkt-619411,,,,/619411_base.jpg,Univ Hangrod End Mnt Brkt base image,/619411_base.jpg,Univ Hangrod End Mnt Brkt small image,/619411_base.jpg,Univ Hangrod End Mnt Brkt thumbnail,,,,,,,,1,0,1,base,0,0
619412,,Default,simple,Default Category/Fixtures; Racks & Shelving/Wall Systems ( Standards & Accessories)/Universal/Brackets,"Univ HR End Mount Bkt 1-5/16""","<p align=left><font color=#000000 size=2 face=""Verdana, Helvetica"">Universal System Hangrod End Mount Bracket&nbsp;comes with a thumb lock Mirror Polished Chrome<span lang=en-us>&nbsp;Brackets, Faceouts. </span></font><font color=#000000 size=2 face=""Verdana, Helvetica"">The Universal System is recommended for moderate loads and normal traffic conditions.<br></font></p>",Universal Hangrod End Mount Bracket,0.23,1,Taxable Goods,"Catalog, Search",1.92,,,,"univ-hr-end-mount-bkt-1-516""-619412",,,,/619412_base.jpg,"Univ HR End Mount Bkt 1-5/16"" base image",/619412_base.jpg,"Univ HR End Mount Bkt 1-5/16"" small image",/619412_base.jpg,"Univ HR End Mount Bkt 1-5/16"" thumbnail",,,,,,,,1,0,1,base,0,0
61CSR,,Default,simple,Default Category/Fixtures; Racks & Shelving/Place Holder,Glass Clr Rbbr Shlf Rests,,Clear Shelf Rests,0.7245,1,Taxable Goods,"Catalog, Search",32.5,,,,glass-clr-rbbr-shlf-rests-61CSR,clear shelf rests,"clear shelf rests tempered glass connectors, display",clear shelf rests,/61CSR_base.jpg,Glass Clr Rbbr Shlf Rests base image,/61CSR_base.jpg,Glass Clr Rbbr Shlf Rests small image,/61CSR_base.jpg,Glass Clr Rbbr Shlf Rests thumbnail,,,,,,,,1,0,1,base,0,0
6210110,,Default,simple,Default Category/Fixtures; Racks & Shelving/Wall Systems ( Standards & Accessories)/Quantum/Standards,Quan Std Single Slotted 10,"<p align=left><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2>The QUANTUM SYSTEM is recommended for the most severe loads and where traffic conditions demand a more durable line of hardware.<br></font>1"" slots, 2"" on center for 2"" adjustments.&nbsp;&nbsp;Steel<font size=2> thickness </font>.125"" Mirror polished Chrome<br>This standard is counter sunk for a #14 screw.<br><font color=#000000 size=2>This product will be shipped VIA common carrier.<br>Freight will be quoted separately.<br>You will be notified of the freight amount.&nbsp;</font></font></p>",Quantum Single Slotted Standards,8.625,1,Taxable Goods,"Catalog, Search",21,,,,quan-std-single-slotted-10-6210110,,,,/6210110_base.jpg,Quan Std Single Slotted 10 base image,/6210110_base.jpg,Quan Std Single Slotted 10 small image,/6210110_base.jpg,Quan Std Single Slotted 10 thumbnail,,,,,,,,1,0,1,base,0,0
621014,,Default,simple,Default Category/Fixtures; Racks & Shelving/Place Holder,Quan Std Single Slotted 4,"<p align=left><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2>The QUANTUM SYSTEM is recommended for the most severe loads and where traffic conditions demand a more durable line of hardware.<br></font>1"" slots, 2"" on center for 2"" adjustments.&nbsp;&nbsp;Steel<font size=2> thickness </font>.125"" Mirror polished Chrome<br>This standard is counter sunk for a #14 screw.<br><font color=#000000 size=2>This product will be shipped VIA common carrier.<br>Freight will be quoted separately.<br>You will be notified of the freight amount.&nbsp;</font></font></p>",Quantum Single Slotted Standards,2.875,1,Taxable Goods,"Catalog, Search",9.06,,,,quan-std-single-slotted-4-621014,,,,/621014_base.jpg,Quan Std Single Slotted 4 base image,/621014_base.jpg,Quan Std Single Slotted 4 small image,/621014_base.jpg,Quan Std Single Slotted 4 thumbnail,,,,,,,,1,0,1,base,0,0
621015,,Default,simple,Default Category/Fixtures; Racks & Shelving/Place Holder,Quan Std Single Slotted 5,"<p align=left><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2>The QUANTUM SYSTEM is recommended for the most severe loads and where traffic conditions demand a more durable line of hardware.<br></font>1"" slots, 2"" on center for 2"" adjustments.&nbsp;&nbsp;Steel<font size=2> thickness </font>.125"" Mirror polished Chrome<br>This standard is counter sunk for a #14 screw.<br><font color=#000000 size=2>This product will be shipped VIA common carrier.<br>Freight will be quoted separately.<br>You will be notified of the freight amount.&nbsp;</font></font></p>",Quantum Single Slotted Standards,3.565,1,Taxable Goods,"Catalog, Search",10.05,,,,quan-std-single-slotted-5-621015,,,,/621015_base.jpg,Quan Std Single Slotted 5 base image,/621015_base.jpg,Quan Std Single Slotted 5 small image,/621015_base.jpg,Quan Std Single Slotted 5 thumbnail,,,,,,,,1,0,1,base,0,0
